Primary Org Id,Primary Org Name,Primary Org City,Primary Org State,Primary Org Country,ArXiv Id,Affiliation Sequence Number,paper_id
60019711,Office of Science,"Washington, D.C.",,United States,2201.00967v1,2,2201.00967
60019711,Office of Science,"Washington, D.C.",,United States,2201.00445v2,1,2201.00445
60000762,Humboldt-Universität zu Berlin,Berlin,,Germany,2201.00157v2,2,2201.00157
60015033,Smithsonian Institution,"Washington, D.C.",,United States,2201.00935v1,2,2201.00935
60025858,ETH Zürich,Zurich,ZH,Switzerland,2201.00249v2,1,2201.00249
60032730,Indian Institute of Technology Delhi,New Delhi,DL,India,2201.00049v3,5,2201.00049
60112364,"Government of India, Ministry of Human Resource Development",New Delhi,,India,2201.00966v1,4,2201.00966
60032991,Technische Universität Dortmund,Dortmund,Nordrhein-Westfalen,Germany,2201.00413v3,1,2201.00413
60008134,CNRS Centre National de la Recherche Scientifique,Paris,Ile-de-France,France,2201.00195v1,1,2201.00195
60257006,INSHS - Institut des Sciences Humaines et Sociales,Paris,Ile-de-France,France,2201.00195v1,1,2201.00195
60029278,The University of Chicago,Chicago,IL,United States,2201.00091v3,1,2201.00091
60003771,The University of Manchester,Manchester,Greater Manchester,United Kingdom,2201.00600v1,4,2201.00600
60003771,The University of Manchester,Manchester,Greater Manchester,United Kingdom,2201.00579v2,6,2201.00579
60016239,Max Planck Institute of Microstructure Physics,Halle,Sachsen-Anhalt,Germany,2201.00359v1,3,2201.00359
60003174,LUTH - Laboratoire de l'Univers et de ses Theories,Meudon,Ile-de-France,France,2201.00069v1,24,2201.00069
60003977,Northwestern Polytechnical University,Xi'an,Shaanxi,China,2201.00103v1,1,2201.00103
60013789,Beihang University,Beijing,,China,2201.00194v1,1,2201.00194
60018746,INSU - Institut National des Sciences de l'Univers,Paris,Ile-de-France,France,2201.00663v2,2,2201.00663
60013373,INRIA Institut National de Recherche en Informatique et en Automatique,Le Chesnay,Ile-de-France,France,2201.00065v3,3,2201.00065
60112440,INSIS - Institut des Sciences de L'Ingénierie et des Systèmes,Paris,Ile-de-France,France,2201.00371v1,1,2201.00371
60032358,"Indian Institute of Information Technology, Allahabad",Allahabad,UP,India,2201.00511v1,1,2201.00511
60027550,"University of California, Los Angeles",Los Angeles,CA,United States,2201.00325v2,2,2201.00325
60027757,United States Department of Energy,"Washington, D.C.",DC,United States,2201.00449v1,4,2201.00449
60003668,"Università degli Studi del Piemonte Orientale \Amedeo Avogadro\""""",Vercelli,VC,Italy,2201.00221v2,3,2201.00221
60009415,The University of Texas at Dallas,Richardson,TX,United States,2201.00059v1,3,2201.00059
60001604,Ministry of Education of the People's Republic of China,Beijing,Beijing,China,2201.00930v1,6,2201.00930
60000082,National University of Ireland,Dublin,Leinster,Ireland,2201.00069v1,10,2201.00069
60071161,Salahaddin University-Erbil,Erbil,Erbil,Iraq,2201.00116v1,3,2201.00116
60032211,University of Texas System,Austin,TX,United States,2201.00904v1,3,2201.00904
60028609,Argonne National Laboratory,Lemont,IL,United States,2201.00241v1,1,2201.00241
60023462,Waseda University,Tokyo,,Japan,2201.00823v2,6,2201.00823
60014171,University of Waterloo,Waterloo,ON,Canada,2201.00027v1,3,2201.00027
60064143,Nanjing University of Information Science & Technology,Nanjing,Jiangsu,China,2201.00608v1,6,2201.00608
60027363,University of Chinese Academy of Sciences,Beijing,,China,2201.00930v1,2,2201.00930
60009507,University of Montreal,Montreal,QC,Canada,2201.00203v1,2,2201.00203
60068730,OsloMet – StorbyUniversitetet,Oslo,Oslo,Norway,2201.00246v2,2,2201.00246
60001881,The University of Sheffield,Sheffield,South Yorkshire,United Kingdom,2201.00065v3,1,2201.00065
60175886,MRC Centre for Environment and Health,London,,United Kingdom,2201.00579v2,18,2201.00579
60018515,University System of Maryland,Baltimore,MD,United States,2201.00019v2,11,2201.00019
60018515,University System of Maryland,Baltimore,MD,United States,2201.00749v1,2,2201.00749
60017717,The University of North Carolina System,Raleigh,NC,United States,2201.00889v1,1,2201.00889
60016969,Academia Sinica Taiwan,Nankang,Taipei,Taiwan,2201.00460v2,1,2201.00460
60025225,University of Southampton,Southampton,Hampshire,United Kingdom,2201.00859v1,1,2201.00859
60026415,Stony Brook University,Stony Brook,NY,United States,2201.00349v1,2,2201.00349
60257030,INS2I - Institut Des Sciences de L'Information et de Leurs Interactions,Paris,Ile-de-France,France,2201.00844v2,3,2201.00844
60025995,IN2P3 - Institut National de Physique Nucléaire et de Physique Des Particules,Paris,Ile-de-France,France,2201.00608v1,1,2201.00608
60025995,IN2P3 - Institut National de Physique Nucléaire et de Physique Des Particules,Paris,Ile-de-France,France,2201.00069v1,30,2201.00069
60068946,LP2I - Laboratoire de Physique des Deux Infinis Bordeaux,Gradignan,Nouvelle-Aquitaine,France,2201.00069v1,30,2201.00069
60012471,United States Department of Defense,Arlington,VA,United States,2201.00031v1,1,2201.00031
60032032,United States Department of the Navy,Arlington,VA,United States,2201.00762v2,1,2201.00762
60030551,Syracuse University,Syracuse,NY,United States,2201.00750v2,1,2201.00750
60015879,Medical Research Council,London,,United Kingdom,2201.00579v2,18,2201.00579
60025070,École des Hautes Études en Sciences Sociales,Paris,Ile-de-France,France,2201.00777v1,2,2201.00777
60031203,University of California System,Oakland,CA,United States,2201.00923v2,1,2201.00923
60007566,Louisiana State University,Baton Rouge,LA,United States,2201.00835v2,4,2201.00835
60257001,INP - Institut de Physique,Paris,Ile-de-France,France,2201.00697v1,26,2201.00697
60029937,Université de Versailles Saint-Quentin-en-Yvelines,Versailles,Ile-de-France,France,2201.00579v2,31,2201.00579
60257059,"Instituto Federal de Educação, Ciência e Tecnologia do Paraná – IFPR",Curitiba,PR,Brazil,2201.00267v4,2,2201.00267
60023932,University of Technology Sydney,Sydney,NSW,Australia,2201.00239v1,2,2201.00239
60023237,Beijing Normal University,Beijing,,China,2201.00492v2,1,2201.00492
60030106,"Istituto Nazionale Di Astrofisica, Rome",Rome,RM,Italy,2201.00853v1,12,2201.00853
60023289,Écoles polytechniques fédérales,,,Switzerland,2201.00967v1,9,2201.00967
60016605,Charles University,Prague,,Czech Republic,2201.00579v2,24,2201.00579
60001422,Sorbonne Université,Paris,Ile-de-France,France,2201.00808v2,1,2201.00808
60103653,Aalto University,Espoo,Uusimaa,Finland,2201.00845v2,3,2201.00845
60016652,Tech-X Corporation,Boulder,CO,United States,2201.00967v1,8,2201.00967
60016908,Universität Heidelberg,Heidelberg,Baden-Wurttemberg,Germany,2201.00829v2,3,2201.00829
60015986,Università di Trento,Trento,TN,Italy,2201.00670v1,1,2201.00670
60011533,Southwest Research Institute,San Antonio,TX,United States,2201.00079v2,4,2201.00079
60256993,INC - Institut de Chimie,Paris,Ile-de-France,France,2201.00878v1,3,2201.00878
60276023,University of Raparin,Rania,Sulaymaniyah,Iraq,2201.00563v1,3,2201.00563
60021331,Russian Academy of Sciences,Moscow,Moscow Oblast,Russian Federation,2201.00307v1,1,2201.00307
60005745,University of Minnesota System,Minneapolis,MN,United States,2201.00340v1,5,2201.00340
60024350,National University of Defense Technology China,Changsha,Hunan,China,2201.00443v2,2,2201.00443
60031101,University of Cambridge,Cambridge,Cambridgeshire,United Kingdom,2201.00495v1,2,2201.00495
60017010,Liaoning Normal University,Dalian,Liaoning,China,2201.00986v1,1,2201.00986
60030162,Columbia University,New York,NY,United States,2201.00853v1,4,2201.00853
60002561,Nihon University,Tokyo,,Japan,2201.00326v2,1,2201.00326
60116488,Institut Polytechnique de Paris,Palaiseau,Ile-de-France,France,2201.00196v1,1,2201.00196
60011901,Max-Planck-Institut für Gravitationsphysik (Albert-Einstein-Institut),Potsdam,,Germany,2201.00047v2,2,2201.00047
60011901,Max-Planck-Institut für Gravitationsphysik (Albert-Einstein-Institut),Potsdam,,Germany,2201.00697v1,9,2201.00697
60025278,Tsinghua University,Beijing,,China,2201.00827v1,4,2201.00827
60023599,European Southern Observatory,Garching bei Munchen,,Germany,2201.00463v1,25,2201.00463
60012614,Universität Zürich,Zurich,ZH,Switzerland,2201.00077v3,2,2201.00077
60019499,Chinese Academy of Sciences,Beijing,Beijing,China,2201.00827v1,15,2201.00827
60030623,"Rutgers, The State University of New Jersey",New Brunswick,NJ,United States,2201.00741v1,2,2201.00741
60006089,Administrative Headquarters of the Max Planck Society,Munich,Bayern,Germany,2201.00697v1,9,2201.00697
60002494,Université McGill,Montreal,QC,Canada,2201.00241v1,2,2201.00241
60033387,University of London,London,,United Kingdom,2201.00582v2,1,2201.00582
60012689,Julius-Maximilians-Universität Würzburg,Wurzburg,Bayern,Germany,2201.00428v1,1,2201.00428
60006164,Los Alamos National Laboratory,Los Alamos,NM,United States,2201.00676v1,1,2201.00676
60027757,United States Department of Energy,"Washington, D.C.",DC,United States,2201.00687v1,3,2201.00687
60002798,Chinese University of Hong Kong,Hong Kong,,Hong Kong,2201.00951v3,2,2201.00951
60157974,Universidad de O'Higgins,Rancagua,LI,Chile,2201.00061v2,1,2201.00061
60031863,Northeastern University,Shenyang,Liaoning,China,2201.00607v3,2,2201.00607
60006429,Universität Koblenz-Landau,Koblenz am Rhein,Rheinland-Pfalz,Germany,2201.00716v2,1,2201.00716
60031581,California Institute of Technology,Pasadena,CA,United States,2201.00463v1,24,2201.00463
60257001,INP - Institut de Physique,Paris,Ile-de-France,France,2201.00608v1,1,2201.00608
60257001,INP - Institut de Physique,Paris,Ile-de-France,France,2201.00069v1,24,2201.00069
60257001,INP - Institut de Physique,Paris,Ile-de-France,France,2201.00629v1,1,2201.00629
60019118,University of Science and Technology of China,Hefei,Anhui,China,2201.00636v1,1,2201.00636
60102126,Université de Lyon,Lyon,Auvergne-Rhone-Alpes,France,2201.00195v1,1,2201.00195
60009254,Purdue University,West Lafayette,IN,United States,2201.00435v1,1,2201.00435
60020304,"University of Maryland, College Park",College Park,MD,United States,2201.00247v1,2,2201.00247
60029311,University of Southern California,Los Angeles,CA,United States,2201.00880v1,3,2201.00880
60023289,Écoles polytechniques fédérales,,,Switzerland,2201.00712v1,4,2201.00712
60272404,Technology Innovation Institute,Abu Dhabi,,United Arab Emirates,2201.00977v1,1,2201.00977
60085092,Paris-Est Sup,Marne-la-Vallee,Ile-de-France,France,2201.00730v1,2,2201.00730
60021097,University of Surrey,Guildford,Surrey,United Kingdom,2201.00195v1,3,2201.00195
60008134,CNRS Centre National de la Recherche Scientifique,Paris,Ile-de-France,France,2201.00405v1,3,2201.00405
60110853,State University System of Florida,Tallahassee,FL,United States,2201.00880v1,1,2201.00880
60138731,SIGMA Clermont,Aubiere,Auvergne-Rhone-Alpes,France,2201.00694v1,1,2201.00694
60028728,Fairleigh Dickinson University,Teaneck,NJ,United States,2201.00033v3,3,2201.00033
60032211,University of Texas System,Austin,TX,United States,2201.00068v3,2,2201.00068
60026651,Ecole des Ponts ParisTech,Marne-la-Vallee,Ile-de-France,France,2201.00381v1,1,2201.00381
60007033,The City University of New York,New York,NY,United States,2201.00266v1,3,2201.00266
60114851,NORCE Norwegian Research Centre AS,Bergen,Hordaland,Norway,2201.00669v2,1,2201.00669
60010862,Keldysh Institute of Applied Mathematics of Russian Academy of Sciences,Moscow,,Russian Federation,2201.00347v1,5,2201.00347
60009507,University of Montreal,Montreal,QC,Canada,2201.00393v4,1,2201.00393
60004305,Middle East Technical University (METU),Ankara,Ankara,Turkey,2201.00025v2,1,2201.00025
60019711,Office of Science,"Washington, D.C.",,United States,2201.00241v1,1,2201.00241
60003122,University of Victoria,Victoria,BC,Canada,2201.00897v2,2,2201.00897
60014761,Indian Association for the Cultivation of Science,Kolkata,WB,India,2201.00854v2,1,2201.00854
60002786,Hebei Normal University,Shijiazhuang,Hebei,China,2201.00526v1,2,2201.00526
60112377,Laboratoire de Physique Théorique de Toulouse,Toulouse,Occitanie,France,2201.00556v3,1,2201.00556
60025488,The University of Utah,Salt Lake City,UT,United States,2201.00888v1,2,2201.00888
60011619,National Observatory of Athens,Athens,Attica,Greece,2201.00579v2,9,2201.00579
60031819,University of Colorado System,Denver,CO,United States,2201.00655v1,1,2201.00655
60031203,University of California System,Oakland,CA,United States,2201.00712v1,6,2201.00712
60019499,Chinese Academy of Sciences,Beijing,Beijing,China,2201.00360v2,1,2201.00360
60033389,University of Idaho,Moscow,ID,United States,2201.00123v1,1,2201.00123
60028265,Lanzhou University,Lanzhou,Gansu,China,2201.00276v1,3,2201.00276
60013373,INRIA Institut National de Recherche en Informatique et en Automatique,Le Chesnay,Ile-de-France,France,2201.00221v2,1,2201.00221
60004923,NC State University,Raleigh,NC,United States,2201.00234v1,1,2201.00234
60007363,Northwestern University,Evanston,IL,United States,2201.00973v1,2,2201.00973
60023599,European Southern Observatory,Garching bei Munchen,,Germany,2201.00463v1,1,2201.00463
60110693,Université Côte d'Azur,Nice,Provence-Alpes-Cote d'Azur,France,2201.00221v2,1,2201.00221
60025578,Xidian University,Xi'an,Shaanxi,China,2201.00103v1,2,2201.00103
60033387,University of London,London,,United Kingdom,2201.00079v2,1,2201.00079
60113231,"Istituto Nazionale di Fisica Nucleare, Sezione di Napoli",Naples,,Italy,2201.00697v1,4,2201.00697
60025709,The University of Sydney,Sydney,NSW,Australia,2201.00277v1,1,2201.00277
60005630,National Institute of Technology Tiruchirappalli,Tiruchirappalli,TN,India,2201.00966v1,4,2201.00966
60106017,Université Paris-Saclay,Gif-sur-Yvette,Ile-de-France,France,2201.00593v2,1,2201.00593
60008648,University of Madras,Chennai,TN,India,2201.00966v1,2,2201.00966
60071113,Haskoli Islands,Reykjavik,,Iceland,2201.00116v1,5,2201.00116
60001262,United States Air Force,Arlington,VA,United States,2201.00484v1,3,2201.00484
60033100,Nanjing University,Nanjing,Jiangsu,China,2201.00884v2,2,2201.00884
60111165,Alphabet Inc.,Mountain View,CA,United States,2201.00392v3,2,2201.00392
60110415,Institut Mines Télécom,Paris,Ile-de-France,France,2201.00231v1,2,2201.00231
60003892,Arizona State University,Tempe,AZ,United States,2201.00111v1,1,2201.00111
60027686,Nicolaus Copernicus Astronomical Center of the Polish Academy of Sciences,Warsaw,MA,Poland,2201.00151v1,1,2201.00151
60019722,Technische Universität München,Munich,Bayern,Germany,2201.00142v1,1,2201.00142
60023289,Écoles polytechniques fédérales,,,Switzerland,2201.00384v3,3,2201.00384
60000221,University of Colorado Boulder,Boulder,CO,United States,2201.00463v1,3,2201.00463
60029570,Universidade Estadual de Campinas,Campinas,SP,Brazil,2201.00852v1,1,2201.00852
60008134,CNRS Centre National de la Recherche Scientifique,Paris,Ile-de-France,France,2201.00663v2,2,2201.00663
60020022,Max Planck Institute for Mathematics in the Sciences,Leipzig,Sachsen,Germany,2201.00841v2,1,2201.00841
60032211,University of Texas System,Austin,TX,United States,2201.00068v3,4,2201.00068
60087361,Eesti Keskkonnauuringute Keskus,Tallinn,,Estonia,2201.00579v2,21,2201.00579
60005455,Yale University,New Haven,CT,United States,2201.00463v1,2,2201.00463
60021508,University of Notre Dame,Notre Dame,IN,United States,2201.00755v1,3,2201.00755
60023237,Beijing Normal University,Beijing,,China,2201.00211v1,5,2201.00211
60005233,"Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas",Madrid,,Spain,2201.00868v1,2,2201.00868
60029241,"University of California, Santa Barbara",Santa Barbara,CA,United States,2201.00229v1,2,2201.00229
60268256,University of Kurdistan Hewlêr,Erbil,Kurdistan,Iraq,2201.00563v1,2,2201.00563
60025778,"University of Michigan, Ann Arbor",Ann Arbor,MI,United States,2201.00222v1,1,2201.00222
60022195,Massachusetts Institute of Technology,Cambridge,MA,United States,2201.00828v3,3,2201.00828
60019578,Monash University,Clayton,VIC,Australia,2201.00697v1,5,2201.00697
60006037,United States Navy,"Washington, D.C.",DC,United States,2201.00489v3,3,2201.00489
60267571,The Regents of the University of Michigan,Ann Arbor,MI,United States,2201.00004v1,1,2201.00004
60001576,Universitat de Barcelona,Barcelona,Barcelona,Spain,2201.00697v1,29,2201.00697
60030981,École Centrale de Lyon,Ecully,Auvergne-Rhone-Alpes,France,2201.00343v1,3,2201.00343
60031203,University of California System,Oakland,CA,United States,2201.00063v1,2,2201.00063
60031203,University of California System,Oakland,CA,United States,2201.00729v1,3,2201.00729
60067411,Al-Zaytoonah University of Jordan,Amman,Amman Governorate,Jordan,2201.00659v1,1,2201.00659
60031514,Georg-August-Universität Göttingen,Gottingen,Niedersachsen,Germany,2201.00799v1,2,2201.00799
60019705,Crimean Astrophysical Observatory RAS,Bakhchysarai,Autonomous Republic of Crimea,Ukraine,2201.00532v1,1,2201.00532
60112363,Council of National Institutes of Technology,New Delhi,,India,2201.00679v2,1,2201.00679
60023053,National Institute of Standards and Technology,Gaithersburg,MD,United States,2201.00247v1,7,2201.00247
60079425,Ramakrishna Mission Vivekananda Educational and Research Institute,Howrah,WB,India,2201.00127v2,1,2201.00127
60023137,Taras Shevchenko National University of Kyiv,Kyiv,,Ukraine,2201.00743v4,2,2201.00743
60011313,National Academy of Sciences of Ukraine,Kyiv,,Ukraine,2201.00219v1,1,2201.00219
60029278,The University of Chicago,Chicago,IL,United States,2201.00729v1,1,2201.00729
60108665,Université PSL,Paris,Ile-de-France,France,2201.00069v1,24,2201.00069
60257005,INSB - Institut des Sciences Biologiques,Paris,Ile-de-France,France,2201.00032v2,2,2201.00032
60009512,The University of Adelaide,Adelaide,SA,Australia,2201.00069v1,41,2201.00069
60012729,Instituto Nacional de Pesquisas Espaciais,Sao Jose dos Campos,SP,Brazil,2201.00697v1,16,2201.00697
60159578,"Numenta, Inc.",Redwood City,CA,United States,2201.00042v2,2,2201.00042
60016087,China University of Petroleum-Beijing,Beijing,,China,2201.00171v1,1,2201.00171
60104724,Hefei Normal University,Hefei,,China,2201.00366v3,1,2201.00366
60020321,University of Southern Queensland,Toowoomba,QLD,Australia,2201.00918v1,6,2201.00918
60025709,The University of Sydney,Sydney,NSW,Australia,2201.00069v1,4,2201.00069
60257001,INP - Institut de Physique,Paris,Ile-de-France,France,2201.00371v1,1,2201.00371
60027800,Universidad de Alcalá,Alcala de Henares,Madrid,Spain,2201.00949v2,1,2201.00949
60024997,"University of Maryland, Baltimore County (UMBC)",Baltimore,MD,United States,2201.00757v1,2,2201.00757
60018308,Xi'an Jiaotong University,Xi'an,Shaanxi,China,2201.00498v2,1,2201.00498
60032442,Universidad Nacional Autónoma de México,Mexico,,Mexico,2201.00086v1,2,2201.00086
60001754,Max Planck Institute for Radio Astronomy,Bonn,Nordrhein-Westfalen,Germany,2201.00871v2,5,2201.00871
60016296,National Aeronautics and Space Administration,"Washington, D.C.",DC,United States,2201.00463v1,24,2201.00463
60000765,Friedrich-Alexander-Universität Erlangen-Nürnberg,Erlangen,Bayern,Germany,2201.00503v1,1,2201.00503
60110740,Institut de Physique de Nice,Nice,Provence-Alpes-Cote d'Azur,France,2201.00885v3,5,2201.00885
60002765,Bar-Ilan University,Ramat Gan,Tel Aviv District,Israel,2201.00355v2,2,2201.00355
60003269,Princeton University,Princeton,NJ,United States,2201.00328v1,1,2201.00328
60028717,Ludwig-Maximilians-Universität München,Munich,Bayern,Germany,2201.00658v1,1,2201.00658
60008134,CNRS Centre National de la Recherche Scientifique,Paris,Ile-de-France,France,2201.00878v1,2,2201.00878
60008134,CNRS Centre National de la Recherche Scientifique,Paris,Ile-de-France,France,2201.00747v1,1,2201.00747
60014383,Polish Academy of Sciences,Warszawa,Mazowieckie,Poland,2201.00327v2,1,2201.00327
60025084,Shanghai Jiao Tong University,Shanghai,,China,2201.00699v5,3,2201.00699
60032907,Institució Catalana de Recerca i Estudis Avançats,Barcelona,Barcelona,Spain,2201.00930v1,5,2201.00930
60000221,University of Colorado Boulder,Boulder,CO,United States,2201.00449v1,3,2201.00449
60021666,Nanjing University of Aeronautics and Astronautics,Nanjing,Jiangsu,China,2201.00527v1,2,2201.00527
60004350,Technology Arts Sciences TH Köln,Koln,Nordrhein-Westfalen,Germany,2201.00682v2,1,2201.00682
60030904,Institute of Computing Technology Chinese Academy of Sciences,Beijing,Beijing,China,2201.00207v2,2,2201.00207
60032504,Shanghai University of Engineering Science,Shanghai,Shanghai,China,2201.00015v1,2,2201.00015
60027863,Université du Québec à Montréal,Montreal,QC,Canada,2201.00126v1,1,2201.00126
60031581,California Institute of Technology,Pasadena,CA,United States,2201.00738v3,3,2201.00738
60007711,Jilin University,Changchun,Jilin,China,2201.00901v2,2,2201.00901
60112440,INSIS - Institut des Sciences de L'Ingénierie et des Systèmes,Paris,Ile-de-France,France,2201.00747v1,1,2201.00747
60025278,Tsinghua University,Beijing,,China,2201.00101v1,1,2201.00101
60002823,Academia Româna,Bucharest,,Romania,2201.00230v1,2,2201.00230
60016261,University of Nebraska Medical Center,Omaha,NE,United States,2201.00459v1,2,2201.00459
60001422,Sorbonne Université,Paris,Ile-de-France,France,2201.00804v5,3,2201.00804
60102538,Karlsruher Institut für Technologie,Karlsruhe,Baden-Wurttemberg,Germany,2201.00070v2,6,2201.00070
60025272,The University of Tokyo,Tokyo,,Japan,2201.00827v1,3,2201.00827
60071113,Haskoli Islands,Reykjavik,,Iceland,2201.00113v1,4,2201.00113
60012311,Karolinska Institutet,Stockholm,Stockholms,Sweden,2201.00727v1,1,2201.00727
60189156,"Cancer Heterogeneity, Plasticity & Resistance to Therapies (Canther)",Lille,Hauts-de-France,France,2201.00663v2,1,2201.00663
60000112,University of East Anglia,Norwich,Norfolk,United Kingdom,2201.00339v1,1,2201.00339
60048717,University of Nairobi,Nairobi,Nairobi,Kenya,2201.00212v1,1,2201.00212
60014171,University of Waterloo,Waterloo,ON,Canada,2201.00047v2,5,2201.00047
60009982,Harvard University,Cambridge,MA,United States,2201.00423v1,1,2201.00423
60016060,Universität Augsburg,Augsburg,Bayern,Germany,2201.00052v1,2,2201.00052
60022784,Raman Research Institute,Bengaluru,KA,India,2201.00529v1,1,2201.00529
60005816,South China Normal University,Guangzhou,Guangdong,China,2201.00725v2,2,2201.00725
60031135,Academy of Sciences of the Czech Republic,Prague,,Czech Republic,2201.00405v1,5,2201.00405
60008648,University of Madras,Chennai,TN,India,2201.00969v1,2,2201.00969
60018746,INSU - Institut National des Sciences de l'Univers,Paris,Ile-de-France,France,2201.00747v1,1,2201.00747
60009507,University of Montreal,Montreal,QC,Canada,2201.00439v1,1,2201.00439
60025995,IN2P3 - Institut National de Physique Nucléaire et de Physique Des Particules,Paris,Ile-de-France,France,2201.00405v1,1,2201.00405
60009860,Fudan University,Shanghai,,China,2201.00960v1,1,2201.00960
60001741,Universidad Carlos III de Madrid,Getafe,Madrid,Spain,2201.00637v1,1,2201.00637
60016969,Academia Sinica Taiwan,Nankang,Taipei,Taiwan,2201.00574v1,1,2201.00574
60005248,Johns Hopkins University,Baltimore,MD,United States,2201.00868v1,7,2201.00868
60123796,Université Paris Cité,Paris,Ile-de-France,France,2201.00213v1,1,2201.00213
60000221,University of Colorado Boulder,Boulder,CO,United States,2201.00967v1,3,2201.00967
